"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
8600000	412.978	1293.47	0.750646	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8650000	325.179	951.731	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8700000	310	876.203	1	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8750000	310	879.269	1	0	-17.2441	-34.4081	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8800000	310	900.321	1	0	-17.244	-34.4081	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8850000	310	888.625	1	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8900000	341.101	1005.53	0.908821	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8950000	341.101	1033.59	0.908821	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
9000000	433.199	1467.88	0.715606	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
9050000	500	1682.85	0.62	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
9100000	454.41	1537.04	0.682203	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
9150000	310	936.718	1	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
9200000	325.179	964.233	0.953321	0	-17.244	-34.408	-51.8931	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
