"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
36000	460.718	886.441	0.672862	0	63	127	127	191	191
36100	460.718	986.934	0.672862	0	63	127	127	191	191
36200	460.718	957.431	0.672862	0	63	127	127	191	191
36300	460.718	960.313	0.672862	0	63	127	127	191	191
36400	460.718	973.31	0.672862	0	63	127	127	191	191
36500	403.717	921.728	0.767864	0	63	63	127	191	191
36600	403.717	982.26	0.767864	0	63	63	127	191	191
36700	403.717	984.251	0.767864	0	63	63	127	191	191
36800	403.717	973.774	0.767864	0	63	63	127	191	191
36900	403.717	969.168	0.767864	0	63	63	127	191	191
37000	525.767	957.404	0.589615	0	63	63	127	127	191
37100	525.767	1046.15	0.589615	0	63	63	127	127	191
37200	525.767	933.102	0.589615	0	63	63	127	127	191
37300	525.767	1042.88	0.589615	0	63	63	127	127	191
37400	525.767	1026.46	0.589615	0	63	63	127	127	191
37500	353.769	994.849	0.876278	0	-1	63	127	127	191
37600	353.769	929.932	0.876278	0	-1	63	127	127	191
37700	353.769	927.322	0.876278	0	-1	63	127	127	191
37800	353.769	938.952	0.876278	0	-1	63	127	127	191
37900	353.769	990.821	0.876278	0	-1	63	127	127	191
38000	600	979.944	0.516667	0	-1	63	127	127	127
38100	600	1008.18	0.516667	0	-1	63	127	127	127
38200	600	1020.7	0.516667	0	-1	63	127	127	127
38300	600	1122.78	0.516667	0	-1	63	127	127	127
38400	600	1061.39	0.516667	0	-1	63	127	127	127
38500	310	1106.47	1	0	63	127	191	191	191
38600	310	936.801	1	0	63	127	191	191	191
38700	310	878.079	1	0	63	127	191	191	191
38800	310	908.598	1	0	63	127	191	191	191
38900	310	924.559	1	0	63	127	191	191	191
39000	460.718	901.493	0.672862	0	63	127	127	191	191
39100	460.718	1002.56	0.672862	0	63	127	127	191	191
39200	460.718	1002.04	0.672862	0	63	127	127	191	191
39300	460.718	989.654	0.672862	0	63	127	127	191	191
39400	460.718	982.369	0.672862	0	63	127	127	191	191
39500	403.717	986.174	0.767864	0	63	63	127	191	191
39600	403.717	943.729	0.767864	0	63	63	127	191	191
39700	403.717	946.803	0.767864	0	63	63	127	191	191
39800	403.717	960.182	0.767864	0	63	63	127	191	191
39900	403.717	1006.42	0.767864	0	63	63	127	191	191
40000	525.767	937.687	0.589615	0	63	63	127	127	191
40100	525.767	1099.03	0.589615	0	63	63	127	127	191
40200	525.767	1008.55	0.589615	0	63	63	127	127	191
40300	525.767	996.04	0.589615	0	63	63	127	127	191
40400	525.767	1017.88	0.589615	0	63	63	127	127	191
40500	353.769	961.496	0.876278	0	-1	63	127	127	191
40600	353.769	901.991	0.876278	0	-1	63	127	127	191
40700	353.769	936.723	0.876278	0	-1	63	127	127	191
40800	353.769	889.477	0.876278	0	-1	63	127	127	191
40900	353.769	988.617	0.876278	0	-1	63	127	127	191
41000	600	977.195	0.516667	0	-1	63	127	127	127
41100	600	1104.56	0.516667	0	-1	63	127	127	127
41200	600	1049.65	0.516667	0	-1	63	127	127	127
41300	600	1071.96	0.516667	0	-1	63	127	127	127
41400	600	1129.76	0.516667	0	-1	63	127	127	127
41500	460.718	1024.11	0.672862	0	-1	63	63	127	127
41600	460.718	967.758	0.672862	0	-1	63	63	127	127
41700	460.718	986.776	0.672862	0	-1	63	63	127	127
41800	460.718	952.941	0.672862	0	-1	63	63	127	127
41900	460.718	963.824	0.672862	0	-1	63	63	127	127
42000	310	956.367	1	0	63	127	127	191	191
42100	310	942.313	1	0	63	127	127	191	191
42200	310	924.131	1	0	63	127	127	191	191
42300	310	910.261	1	0	63	127	127	191	191
42400	310	915.737	1	0	63	127	127	191	191
42500	525.767	867.411	0.589615	0	63	127	127	127	191
42600	525.767	953.705	0.589615	0	63	127	127	127	191
42700	525.767	978.22	0.589615	0	63	127	127	127	191
42800	525.767	1038.87	0.589615	0	63	127	127	127	191
42900	525.767	1053.49	0.589615	0	63	127	127	127	191
43000	403.717	984.36	0.767864	0	63	63	127	127	191
43100	403.717	925.934	0.767864	0	63	63	127	127	191
43200	403.717	981.361	0.767864	0	63	63	127	127	191
43300	403.717	978.482	0.767864	0	63	63	127	127	191
43400	403.717	1012.64	0.767864	0	63	63	127	127	191
43500	353.769	1040.17	0.876278	0	-1	63	127	127	191
43600	353.769	991.676	0.876278	0	-1	63	127	127	191
43700	353.769	1023.83	0.876278	0	-1	63	127	127	191
43800	353.769	980.544	0.876278	0	-1	63	127	127	191
43900	353.769	936.705	0.876278	0	-1	63	127	127	191
44000	600	952.193	0.516667	0	-1	63	127	127	127
44100	600	1102.4	0.516667	0	-1	63	127	127	127
44200	600	1093.06	0.516667	0	-1	63	127	127	127
44300	600	1077.2	0.516667	0	-1	63	127	127	127
44400	600	1070.25	0.516667	0	-1	63	127	127	127
44500	310	1068.13	1	0	63	127	191	191	191
44600	310	905.39	1	0	63	127	191	191	191
44700	310	912.443	1	0	63	127	191	191	191
44800	310	931.809	1	0	63	127	191	191	191
44900	310	943.859	1	0	63	127	191	191	191
45000	460.718	896.921	0.672862	0	63	127	127	191	191
45100	460.718	972.835	0.672862	0	63	127	127	191	191
45200	460.718	1086.62	0.672862	0	63	127	127	191	191
45300	460.718	954.4	0.672862	0	63	127	127	191	191
45400	460.718	1048.88	0.672862	0	63	127	127	191	191
45500	403.717	1058.31	0.767864	0	63	63	127	191	191
45600	403.717	988.598	0.767864	0	63	63	127	191	191
45700	403.717	1011.96	0.767864	0	63	63	127	191	191
45800	403.717	1024.78	0.767864	0	63	63	127	191	191
45900	403.717	970.784	0.767864	0	63	63	127	191	191
46000	525.767	969.222	0.589615	0	63	63	127	127	191
46100	525.767	1052	0.589615	0	63	63	127	127	191
46200	525.767	1094.56	0.589615	0	63	63	127	127	191
46300	525.767	1065.77	0.589615	0	63	63	127	127	191
46400	525.767	1133.31	0.589615	0	63	63	127	127	191
46500	353.769	1046.96	0.876278	0	-1	63	127	127	191
46600	353.769	1010.98	0.876278	0	-1	63	127	127	191
46700	353.769	971.235	0.876278	0	-1	63	127	127	191
46800	353.769	923.314	0.876278	0	-1	63	127	127	191
46900	353.769	970.739	0.876278	0	-1	63	127	127	191
47000	600	928.239	0.516667	0	-1	63	127	127	127
47100	600	1034.1	0.516667	0	-1	63	127	127	127
47200	600	1067.64	0.516667	0	-1	63	127	127	127
47300	600	1157.53	0.516667	0	-1	63	127	127	127
