"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
16150	387.298	49.673	0.774597	0	3	6	9	10
16200	387.298	52.8262	0.774597	0	3	6	9	10
16250	387.298	45.5076	0.774597	0	3	6	9	10
16300	387.298	43.1071	0.774597	0	3	6	9	10
16350	387.298	49.9602	0.774597	0	3	6	9	10
16400	387.298	48.0871	0.774597	0	3	6	9	10
16450	387.298	48.6277	0.774597	0	3	6	9	10
16500	340.866	61.192	0.880112	0	2	6	9	10
16550	340.866	54.7056	0.880112	0	2	6	9	10
16600	340.866	50.2815	0.880112	0	2	6	9	10
16650	340.866	49.5868	0.880112	0	2	6	9	10
16700	340.866	51.045	0.880112	0	2	6	9	10
16750	340.866	60.513	0.880112	0	2	6	9	10
16800	340.866	52.6023	0.880112	0	2	6	9	10
16850	340.866	49.5661	0.880112	0	2	6	9	10
16900	340.866	61.2957	0.880112	0	2	6	9	10
16950	340.866	47.7229	0.880112	0	2	6	9	10
17000	440.056	54.2988	0.681732	0	2	6	8	10
17050	440.056	59.1953	0.681732	0	2	6	8	10
17100	440.056	60.7203	0.681732	0	2	6	8	10
17150	440.056	61.6957	0.681732	0	2	6	8	10
17200	440.056	71.5747	0.681732	0	2	6	8	10
17250	440.056	67.7427	0.681732	0	2	6	8	10
17300	440.056	63.1523	0.681732	0	2	6	8	10
17350	440.056	62.2111	0.681732	0	2	6	8	10
17400	440.056	61.9954	0.681732	0	2	6	8	10
17450	440.056	59.8864	0.681732	0	2	6	8	10
17500	440.056	52.8461	0.681732	0	2	6	7	10
17550	440.056	54.2739	0.681732	0	2	6	7	10
17600	440.056	61.1482	0.681732	0	2	6	7	10
17650	440.056	57.9516	0.681732	0	2	6	7	10
17700	440.056	65.8804	0.681732	0	2	6	7	10
17750	440.056	55.4796	0.681732	0	2	6	7	10
17800	440.056	58.9498	0.681732	0	2	6	7	10
17850	440.056	46.5964	0.681732	0	2	6	7	10
17900	440.056	67.9957	0.681732	0	2	6	7	10
17950	440.056	72.0715	0.681732	0	2	6	7	10
18000	300	63.2807	1	0	3	7	8	11
18050	300	59.3918	1	0	3	7	8	11
18100	300	53.1245	1	0	3	7	8	11
18150	300	56.9505	1	0	3	7	8	11
18200	300	55.6496	1	0	3	7	8	11
18250	300	48.2954	1	0	3	7	8	11
18300	300	42.2406	1	0	3	7	8	11
18350	300	38.6754	1	0	3	7	8	11
18400	300	45.2805	1	0	3	7	8	11
18450	300	43.0127	1	0	3	7	8	11
18500	500	50.1378	0.6	0	3	7	8	10
18550	500	49.9676	0.6	0	3	7	8	10
18600	500	59.2824	0.6	0	3	7	8	10
18650	500	47.1471	0.6	0	3	7	8	10
18700	500	43.6746	0.6	0	3	7	8	10
18750	500	74.381	0.6	0	3	7	8	10
18800	500	46.1567	0.6	0	3	7	8	10
18850	500	51.4607	0.6	0	3	7	8	10
18900	500	43.2575	0.6	0	3	7	8	10
18950	500	48.459	0.6	0	3	7	8	10
19000	500	47.2565	0.6	0	3	7	8	9
19050	500	54.0652	0.6	0	3	7	8	9
19100	500	70.9074	0.6	0	3	7	8	9
19150	500	51.8478	0.6	0	3	7	8	9
19200	500	46.4508	0.6	0	3	7	8	9
19250	500	51.1384	0.6	0	3	7	8	9
19300	500	51.7923	0.6	0	3	7	8	9
19350	500	45.3531	0.6	0	3	7	8	9
19400	500	39.3313	0.6	0	3	7	8	9
19450	500	46.9355	0.6	0	3	7	8	9
19500	387.298	65.5956	0.774597	0	3	6	8	9
19550	387.298	55.599	0.774597	0	3	6	8	9
19600	387.298	62.0054	0.774597	0	3	6	8	9
19650	387.298	52.1605	0.774597	0	3	6	8	9
