"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"298K Weight"	"386.47K Weight"	"501.204K Weight"	"650K Weight"
20750	386.47	65.4829	0.771083	0	-10	-16	-19
20800	386.47	87.9109	0.771083	0	-10	-16	-19
20850	386.47	75.0466	0.771083	0	-10	-16	-19
20900	386.47	81.3159	0.771083	0	-10	-16	-19
20950	386.47	81.6912	0.771083	0	-10	-16	-19
21000	298	55.5252	1	0	-8	-14	-17
21050	298	55.4547	1	0	-8	-14	-17
21100	298	49.9771	1	0	-8	-14	-17
21150	298	60.4534	1	0	-8	-14	-17
21200	298	50.9999	1	0	-8	-14	-17
21250	298	49.6055	1	0	-6	-12	-15
21300	298	43.914	1	0	-6	-12	-15
21350	298	60.0739	1	0	-6	-12	-15
21400	298	60.1204	1	0	-6	-12	-15
21450	298	57.0152	1	0	-6	-12	-15
21500	386.47	72.3254	0.771083	0	-8	-12	-15
21550	386.47	65.3838	0.771083	0	-8	-12	-15
21600	386.47	69.5411	0.771083	0	-8	-12	-15
21650	386.47	68.0661	0.771083	0	-8	-12	-15
21700	386.47	62.518	0.771083	0	-8	-12	-15
21750	298	61.8514	1	0	-6	-10	-13
21800	298	49.7843	1	0	-6	-10	-13
21850	298	55.0958	1	0	-6	-10	-13
21900	298	45.0432	1	0	-6	-10	-13
21950	298	50.8648	1	0	-6	-10	-13
22000	298	42.4168	1	0	-4	-8	-11
22050	298	48.3047	1	0	-4	-8	-11
22100	298	55.6057	1	0	-4	-8	-11
22150	298	66.102	1	0	-4	-8	-11
22200	298	47.042	1	0	-4	-8	-11
22250	386.47	64.4763	0.771083	0	-6	-8	-11
22300	386.47	68.0663	0.771083	0	-6	-8	-11
22350	386.47	71.8421	0.771083	0	-6	-8	-11
22400	386.47	64.6015	0.771083	0	-6	-8	-11
22450	386.47	63.0701	0.771083	0	-6	-8	-11
22500	501.204	94.3651	0.594569	0	-6	-10	-11
22550	501.204	91.9562	0.594569	0	-6	-10	-11
22600	501.204	124.495	0.594569	0	-6	-10	-11
22650	501.204	103.512	0.594569	0	-6	-10	-11
22700	501.204	80.2463	0.594569	0	-6	-10	-11
22750	650	101.965	0.458462	0	-6	-10	-13
22800	650	170.595	0.458462	0	-6	-10	-13
22850	650	129.024	0.458462	0	-6	-10	-13
22900	650	127.521	0.458462	0	-6	-10	-13
22950	650	122.058	0.458462	0	-6	-10	-13
23000	650	90.6128	0.458462	0	-6	-10	-15
23050	650	137.788	0.458462	0	-6	-10	-15
23100	650	97.7226	0.458462	0	-6	-10	-15
23150	650	111.794	0.458462	0	-6	-10	-15
23200	650	128.561	0.458462	0	-6	-10	-15
23250	650	127.314	0.458462	0	-6	-10	-17
23300	650	134.748	0.458462	0	-6	-10	-17
23350	650	130.981	0.458462	0	-6	-10	-17
23400	650	197.562	0.458462	0	-6	-10	-17
23450	650	129.515	0.458462	0	-6	-10	-17
23500	650	127.203	0.458462	0	-6	-10	-19
23550	650	154.88	0.458462	0	-6	-10	-19
23600	650	104.892	0.458462	0	-6	-10	-19
23650	650	111.744	0.458462	0	-6	-10	-19
23700	650	101.799	0.458462	0	-6	-10	-19
23750	501.204	88.4403	0.594569	0	-6	-12	-19
23800	501.204	80.3315	0.594569	0	-6	-12	-19
23850	501.204	103.601	0.594569	0	-6	-12	-19
23900	501.204	91.7722	0.594569	0	-6	-12	-19
23950	501.204	101.445	0.594569	0	-6	-12	-19
24000	501.204	94.1771	0.594569	0	-6	-14	-19
24050	501.204	103.833	0.594569	0	-6	-14	-19
24100	501.204	101.402	0.594569	0	-6	-14	-19
24150	501.204	101.849	0.594569	0	-6	-14	-19
24200	501.204	122.25	0.594569	0	-6	-14	-19
24250	386.47	89.3047	0.771083	0	-8	-14	-19
24300	386.47	77.699	0.771083	0	-8	-14	-19
24350	386.47	100.322	0.771083	0	-8	-14	-19
24400	386.47	75.3707	0.771083	0	-8	-14	-19
24450	386.47	78.8633	0.771083	0	-8	-14	-19
24500	386.47	65.1285	0.771083	0	-10	-14	-19
24550	386.47	61.4052	0.771083	0	-10	-14	-19
24600	386.47	67.5125	0.771083	0	-10	-14	-19
24650	386.47	75.0622	0.771083	0	-10	-14	-19
24700	386.47	63.8522	0.771083	0	-10	-14	-19
24750	501.204	91.4055	0.594569	0	-10	-16	-19
24800	501.204	94.091	0.594569	0	-10	-16	-19
24850	501.204	87.0833	0.594569	0	-10	-16	-19
24900	501.204	133.506	0.594569	0	-10	-16	-19
24950	501.204	95.5543	0.594569	0	-10	-16	-19
25000	650	100.42	0.458462	0	-10	-16	-21
25050	650	116.578	0.458462	0	-10	-16	-21
25100	650	165.423	0.458462	0	-10	-16	-21
25150	650	123.825	0.458462	0	-10	-16	-21
25200	650	122.298	0.458462	0	-10	-16	-21
25250	501.204	87.4613	0.594569	0	-10	-18	-21
25300	501.204	102.389	0.594569	0	-10	-18	-21
25350	501.204	84.9702	0.594569	0	-10	-18	-21
25400	501.204	97.0291	0.594569	0	-10	-18	-21
25450	501.204	89.6408	0.594569	0	-10	-18	-21
25500	386.47	67.4506	0.771083	0	-12	-18	-21
25550	386.47	66.7229	0.771083	0	-12	-18	-21
25600	386.47	57.9928	0.771083	0	-12	-18	-21
25650	386.47	55.7943	0.771083	0	-12	-18	-21
25700	386.47	56.7621	0.771083	0	-12	-18	-21
25750	298	50.225	1	0	-10	-16	-19
25800	298	42.687	1	0	-10	-16	-19
25850	298	45.4859	1	0	-10	-16	-19
25900	298	41.2776	1	0	-10	-16	-19
25950	298	44.8511	1	0	-10	-16	-19
26000	298	43.5782	1	0	-8	-14	-17
26050	298	49.0005	1	0	-8	-14	-17
26100	298	42.4462	1	0	-8	-14	-17
26150	298	46.1444	1	0	-8	-14	-17
26200	298	46.9085	1	0	-8	-14	-17
26250	298	47.1147	1	0	-7	-13	-16
26300	298	47.0162	1	0	-7	-13	-16
26350	298	43.0367	1	0	-7	-13	-16
26400	298	46.1132	1	0	-7	-13	-16
