#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
141400000,-107.86557006835938,0.02992547106902703,2.76e+03,1:53:20
141450000,-99.14117431640625,0.02992547106902703,2.76e+03,1:53:16
141500000,-128.36599731445312,0.02992547106902703,2.76e+03,1:53:13
141550000,-121.25936889648438,0.02992547106902703,2.76e+03,1:53:10
141600000,-103.00509643554688,0.02992547106902703,2.76e+03,1:53:07
141650000,-121.72921752929688,0.02992547106902703,2.76e+03,1:53:04
141700000,-98.65960693359375,0.02992547106902703,2.76e+03,1:53:01
141750000,-104.92816162109375,0.02992547106902703,2.76e+03,1:52:57
141800000,-110.49209594726562,0.02992547106902703,2.76e+03,1:52:54
141850000,-120.32186889648438,0.02992547106902703,2.76e+03,1:52:51
141900000,-114.069580078125,0.02992547106902703,2.76e+03,1:52:48
141950000,-114.61367797851562,0.02992547106902703,2.76e+03,1:52:45
142000000,-108.96688842773438,0.02992547106902703,2.76e+03,1:52:42
142050000,-104.38677978515625,0.02992547106902703,2.76e+03,1:52:39
142100000,-131.97442626953125,0.02992547106902703,2.76e+03,1:52:35
142150000,-87.5142822265625,0.02992547106902703,2.76e+03,1:52:32
142200000,-113.849853515625,0.02992547106902703,2.76e+03,1:52:29
142250000,-107.35882568359375,0.02992547106902703,2.76e+03,1:52:26
142300000,-104.07241821289062,0.02992547106902703,2.76e+03,1:52:23
142350000,-105.8509521484375,0.02992547106902703,2.76e+03,1:52:20
142400000,-114.391845703125,0.02992547106902703,2.76e+03,1:52:17
142450000,-103.24594116210938,0.02992547106902703,2.76e+03,1:52:14
142500000,-97.53640747070312,0.02992547106902703,2.76e+03,1:52:11
142550000,-132.16708374023438,0.02992547106902703,2.76e+03,1:52:07
142600000,-117.01507568359375,0.02992547106902703,2.76e+03,1:52:04
142650000,-128.36495971679688,0.02992547106902703,2.76e+03,1:52:01
142700000,-124.41726684570312,0.02992547106902703,2.76e+03,1:51:58
142750000,-124.11492919921875,0.02992547106902703,2.76e+03,1:51:55
142800000,-108.873291015625,0.02992547106902703,2.76e+03,1:51:52
142850000,-124.59173583984375,0.02992547106902703,2.76e+03,1:51:48
142900000,-128.39657592773438,0.02992547106902703,2.76e+03,1:51:45
142950000,-105.37576293945312,0.02992547106902703,2.76e+03,1:51:42
143000000,-105.068359375,0.02992547106902703,2.76e+03,1:51:39
143050000,-116.63177490234375,0.02992547106902703,2.76e+03,1:51:36
143100000,-79.89410400390625,0.02992547106902703,2.76e+03,1:51:33
143150000,-81.9674072265625,0.02992547106902703,2.76e+03,1:51:29
143200000,-91.49642944335938,0.02992547106902703,2.76e+03,1:51:26
143250000,-119.697265625,0.02992547106902703,2.76e+03,1:51:23
143300000,-106.24856567382812,0.02992547106902703,2.76e+03,1:51:20
143350000,-130.65188598632812,0.02992547106902703,2.76e+03,1:51:17
143400000,-113.76626586914062,0.02992547106902703,2.76e+03,1:51:14
143450000,-107.17327880859375,0.02992547106902703,2.76e+03,1:51:11
143500000,-120.02783203125,0.02992547106902703,2.76e+03,1:51:07
143550000,-125.9151611328125,0.02992547106902703,2.76e+03,1:51:04
143600000,-103.992919921875,0.02992547106902703,2.76e+03,1:51:01
143650000,-99.15921020507812,0.02992547106902703,2.76e+03,1:50:58
143700000,-91.21188354492188,0.02992547106902703,2.76e+03,1:50:55
143750000,-115.9736328125,0.02992547106902703,2.76e+03,1:50:52
143800000,-114.016845703125,0.02992547106902703,2.76e+03,1:50:49
143850000,-93.3807373046875,0.02992547106902703,2.76e+03,1:50:45
143900000,-78.80825805664062,0.02992547106902703,2.76e+03,1:50:42
143950000,-138.58831787109375,0.02992547106902703,2.76e+03,1:50:39
144000000,-101.00991821289062,0.02992547106902703,2.76e+03,1:50:36
144050000,-120.51712036132812,0.02992547106902703,2.76e+03,1:50:33
144100000,-130.76934814453125,0.02992547106902703,2.76e+03,1:50:30
144150000,-106.73489379882812,0.02992547106902703,2.76e+03,1:50:27
144200000,-115.23495483398438,0.02992547106902703,2.76e+03,1:50:24
144250000,-114.6668701171875,0.02992547106902703,2.76e+03,1:50:20
144300000,-106.50848388671875,0.02992547106902703,2.76e+03,1:50:17
144350000,-116.54446411132812,0.02992547106902703,2.76e+03,1:50:14
144400000,-94.280517578125,0.02992547106902703,2.76e+03,1:50:11
144450000,-98.92816162109375,0.02992547106902703,2.76e+03,1:50:08
144500000,-103.25332641601562,0.02992547106902703,2.76e+03,1:50:05
144550000,-115.6392822265625,0.02992547106902703,2.76e+03,1:50:02
144600000,-110.031005859375,0.02992547106902703,2.76e+03,1:49:58
144650000,-104.76409912109375,0.02992547106902703,2.76e+03,1:49:55
144700000,-120.19662475585938,0.02992547106902703,2.76e+03,1:49:52
144750000,-124.7952880859375,0.02992547106902703,2.76e+03,1:49:49
144800000,-124.34494018554688,0.02992547106902703,2.76e+03,1:49:46
144850000,-110.86968994140625,0.02992547106902703,2.76e+03,1:49:43
144900000,-100.9405517578125,0.02992547106902703,2.76e+03,1:49:40
144950000,-109.520263671875,0.02992547106902703,2.76e+03,1:49:36
145000000,-124.05975341796875,0.02992547106902703,2.76e+03,1:49:33
145050000,-105.37045288085938,0.02992547106902703,2.76e+03,1:49:30
145100000,-97.68209838867188,0.02992547106902703,2.76e+03,1:49:27
145150000,-118.8116455078125,0.02992547106902703,2.76e+03,1:49:24
145200000,-104.7249755859375,0.02992547106902703,2.76e+03,1:49:21
145250000,-116.85610961914062,0.02992547106902703,2.76e+03,1:49:17
145300000,-120.53363037109375,0.02992547106902703,2.76e+03,1:49:14
145350000,-107.70693969726562,0.02992547106902703,2.76e+03,1:49:11
145400000,-98.27374267578125,0.02992547106902703,2.76e+03,1:49:08
145450000,-108.24966430664062,0.02992547106902703,2.76e+03,1:49:05
145500000,-137.47698974609375,0.02992547106902703,2.76e+03,1:49:02
145550000,-116.386962890625,0.02992547106902703,2.76e+03,1:48:59
145600000,-120.0216064453125,0.02992547106902703,2.76e+03,1:48:55
145650000,-116.26043701171875,0.02992547106902703,2.76e+03,1:48:52
145700000,-98.59542846679688,0.02992547106902703,2.76e+03,1:48:49
145750000,-116.4168701171875,0.02992547106902703,2.76e+03,1:48:46
145800000,-106.21920776367188,0.02992547106902703,2.76e+03,1:48:43
145850000,-116.4713134765625,0.02992547106902703,2.76e+03,1:48:40
145900000,-104.48721313476562,0.02992547106902703,2.76e+03,1:48:37
145950000,-105.8614501953125,0.02992547106902703,2.76e+03,1:48:33
146000000,-109.37457275390625,0.02992547106902703,2.76e+03,1:48:30
146050000,-110.74850463867188,0.02992547106902703,2.76e+03,1:48:27
146100000,-130.7447509765625,0.02992547106902703,2.76e+03,1:48:24
146150000,-93.687744140625,0.02992547106902703,2.76e+03,1:48:21
146200000,-114.13958740234375,0.02992547106902703,2.76e+03,1:48:18
146250000,-82.68313598632812,0.02992547106902703,2.76e+03,1:48:14
146300000,-123.40679931640625,0.02992547106902703,2.76e+03,1:48:11
146350000,-140.54864501953125,0.02992547106902703,2.76e+03,1:48:08
146400000,-112.5657958984375,0.02992547106902703,2.76e+03,1:48:05
146450000,-124.44332885742188,0.02992547106902703,2.76e+03,1:48:02
146500000,-132.08316040039062,0.02992547106902703,2.76e+03,1:47:59
146550000,-124.38558959960938,0.02992547106902703,2.76e+03,1:47:56
146600000,-98.36300659179688,0.02992547106902703,2.76e+03,1:47:52
146650000,-120.40328979492188,0.02992547106902703,2.76e+03,1:47:49
146700000,-109.760986328125,0.02992547106902703,2.76e+03,1:47:46
146750000,-119.15863037109375,0.02992547106902703,2.76e+03,1:47:43
146800000,-118.1802978515625,0.02992547106902703,2.76e+03,1:47:40
146850000,-103.85101318359375,0.02992547106902703,2.76e+03,1:47:37
146900000,-134.00778198242188,0.02992547106902703,2.76e+03,1:47:33
146950000,-91.298583984375,0.02992547106902703,2.76e+03,1:47:30
147000000,-111.020751953125,0.02992547106902703,2.76e+03,1:47:27
147050000,-90.77719116210938,0.02992547106902703,2.76e+03,1:47:24
147100000,-113.37631225585938,0.02992547106902703,2.76e+03,1:47:21
147150000,-110.84188842773438,0.02992547106902703,2.76e+03,1:47:18
147200000,-90.31979370117188,0.02992547106902703,2.76e+03,1:47:15
147250000,-117.33184814453125,0.02992547106902703,2.76e+03,1:47:11
147300000,-100.62939453125,0.02992547106902703,2.76e+03,1:47:08
147350000,-125.63546752929688,0.02992547106902703,2.76e+03,1:47:05
147400000,-121.02407836914062,0.02992547106902703,2.76e+03,1:47:02
147450000,-102.86563110351562,0.02992547106902703,2.76e+03,1:46:59
147500000,-78.2689208984375,0.02992547106902703,2.76e+03,1:46:56
147550000,-119.5614013671875,0.02992547106902703,2.76e+03,1:46:52
147600000,-107.33908081054688,0.02992547106902703,2.76e+03,1:46:49
147650000,-124.50360107421875,0.02992547106902703,2.76e+03,1:46:46
147700000,-93.11700439453125,0.02992547106902703,2.76e+03,1:46:43
147750000,-114.33660888671875,0.02992547106902703,2.76e+03,1:46:40
147800000,-122.08285522460938,0.02992547106902703,2.76e+03,1:46:37
147850000,-118.65042114257812,0.02992547106902703,2.76e+03,1:46:34
147900000,-110.24557495117188,0.02992547106902703,2.76e+03,1:46:30
147950000,-108.380615234375,0.02992547106902703,2.76e+03,1:46:27
148000000,-107.6043701171875,0.02992547106902703,2.76e+03,1:46:24
148050000,-94.2481689453125,0.02992547106902703,2.76e+03,1:46:21
148100000,-123.94000244140625,0.02992547106902703,2.76e+03,1:46:18
148150000,-110.8238525390625,0.02992547106902703,2.76e+03,1:46:15
148200000,-118.5087890625,0.02992547106902703,2.76e+03,1:46:11
148250000,-119.18710327148438,0.02992547106902703,2.76e+03,1:46:08
148300000,-100.61981201171875,0.02992547106902703,2.76e+03,1:46:05
148350000,-101.60711669921875,0.02992547106902703,2.76e+03,1:46:02
148400000,-109.38058471679688,0.02992547106902703,2.76e+03,1:45:59
148450000,-111.16708374023438,0.02992547106902703,2.76e+03,1:45:56
148500000,-109.57199096679688,0.02992547106902703,2.76e+03,1:45:52
148550000,-126.53018188476562,0.02992547106902703,2.76e+03,1:45:49
148600000,-106.32699584960938,0.02992547106902703,2.76e+03,1:45:46
148650000,-122.39227294921875,0.02992547106902703,2.76e+03,1:45:43
148700000,-96.73226928710938,0.02992547106902703,2.76e+03,1:45:40
148750000,-95.45626831054688,0.02992547106902703,2.76e+03,1:45:37
148800000,-95.10409545898438,0.02992547106902703,2.76e+03,1:45:34
148850000,-125.7733154296875,0.02992547106902703,2.76e+03,1:45:30
148900000,-125.383544921875,0.02992547106902703,2.76e+03,1:45:27
148950000,-109.4144287109375,0.02992547106902703,2.76e+03,1:45:24
149000000,-91.162841796875,0.02992547106902703,2.76e+03,1:45:21
149050000,-122.08999633789062,0.02992547106902703,2.76e+03,1:45:18
149100000,-107.84323120117188,0.02992547106902703,2.76e+03,1:45:15
149150000,-99.85995483398438,0.02992547106902703,2.76e+03,1:45:12
149200000,-117.73822021484375,0.02992547106902703,2.76e+03,1:45:08
149250000,-89.77301025390625,0.02992547106902703,2.76e+03,1:45:05
149300000,-114.09017944335938,0.02992547106902703,2.76e+03,1:45:02
149350000,-104.38583374023438,0.02992547106902703,2.76e+03,1:44:59
149400000,-117.236083984375,0.02992547106902703,2.76e+03,1:44:56
149450000,-120.9256591796875,0.02992547106902703,2.76e+03,1:44:53
149500000,-119.23220825195312,0.02992547106902703,2.76e+03,1:44:50
149550000,-102.81552124023438,0.02992547106902703,2.76e+03,1:44:46
149600000,-109.498291015625,0.02992547106902703,2.76e+03,1:44:43
149650000,-73.433837890625,0.02992547106902703,2.76e+03,1:44:40
149700000,-94.94033813476562,0.02992547106902703,2.76e+03,1:44:37
149750000,-100.7623291015625,0.02992547106902703,2.76e+03,1:44:34
149800000,-124.28369140625,0.02992547106902703,2.76e+03,1:44:31
149850000,-100.27981567382812,0.02992547106902703,2.76e+03,1:44:28
149900000,-109.22943115234375,0.02992547106902703,2.76e+03,1:44:24
149950000,-113.31024169921875,0.02992547106902703,2.76e+03,1:44:21
150000000,-124.27618408203125,0.02992547106902703,2.76e+03,1:44:18
150050000,-115.10244750976562,0.02992547106902703,2.76e+03,1:44:15
150100000,-109.59396362304688,0.02992547106902703,2.76e+03,1:44:12
150150000,-110.51107788085938,0.02992547106902703,2.76e+03,1:44:09
150200000,-124.47567749023438,0.02992547106902703,2.76e+03,1:44:06
150250000,-116.77932739257812,0.02992547106902703,2.76e+03,1:44:02
150300000,-127.05972290039062,0.02992547106902703,2.76e+03,1:43:59
150350000,-117.05850219726562,0.02992547106902703,2.76e+03,1:43:56
150400000,-114.37835693359375,0.02992547106902703,2.76e+03,1:43:53
150450000,-117.72247314453125,0.02992547106902703,2.76e+03,1:43:50
150500000,-74.8792724609375,0.02992547106902703,2.76e+03,1:43:47
150550000,-114.9022216796875,0.02992547106902703,2.76e+03,1:43:44
150600000,-123.29107666015625,0.02992547106902703,2.76e+03,1:43:41
150650000,-125.32708740234375,0.02992547106902703,2.76e+03,1:43:37
150700000,-113.77548217773438,0.02992547106902703,2.76e+03,1:43:34
150750000,-111.59408569335938,0.02992547106902703,2.76e+03,1:43:31
150800000,-113.85208129882812,0.02992547106902703,2.76e+03,1:43:28
150850000,-120.49972534179688,0.02992547106902703,2.76e+03,1:43:25
150900000,-113.93997192382812,0.02992547106902703,2.76e+03,1:43:22
150950000,-105.528564453125,0.02992547106902703,2.76e+03,1:43:19
151000000,-115.39019775390625,0.02992547106902703,2.76e+03,1:43:15
151050000,-120.93338012695312,0.02992547106902703,2.76e+03,1:43:12
151100000,-132.52581787109375,0.02992547106902703,2.76e+03,1:43:09
151150000,-118.89862060546875,0.02992547106902703,2.76e+03,1:43:06
151200000,-99.7169189453125,0.02992547106902703,2.76e+03,1:43:03
151250000,-130.56442260742188,0.02992547106902703,2.76e+03,1:43:00
151300000,-117.62911987304688,0.02992547106902703,2.76e+03,1:42:57
151350000,-104.87506103515625,0.02992547106902703,2.76e+03,1:42:53
151400000,-110.99057006835938,0.02992547106902703,2.76e+03,1:42:50
151450000,-129.51107788085938,0.02992547106902703,2.76e+03,1:42:47
151500000,-124.4853515625,0.02992547106902703,2.76e+03,1:42:44
151550000,-116.89382934570312,0.02992547106902703,2.76e+03,1:42:41
151600000,-115.20755004882812,0.02992547106902703,2.76e+03,1:42:38
151650000,-118.67437744140625,0.02992547106902703,2.76e+03,1:42:35
151700000,-122.41387939453125,0.02992547106902703,2.76e+03,1:42:31
151750000,-100.84039306640625,0.02992547106902703,2.76e+03,1:42:28
151800000,-108.00946044921875,0.02992547106902703,2.76e+03,1:42:25
151850000,-126.25338745117188,0.02992547106902703,2.76e+03,1:42:22
151900000,-124.81503295898438,0.02992547106902703,2.76e+03,1:42:19
151950000,-116.08370971679688,0.02992547106902703,2.76e+03,1:42:16
152000000,-107.69549560546875,0.02992547106902703,2.76e+03,1:42:13
152050000,-109.9571533203125,0.02992547106902703,2.76e+03,1:42:09
152100000,-115.06350708007812,0.02992547106902703,2.76e+03,1:42:06
152150000,-112.4359130859375,0.02992547106902703,2.76e+03,1:42:03
152200000,-114.429931640625,0.02992547106902703,2.76e+03,1:42:00
152250000,-95.55642700195312,0.02992547106902703,2.76e+03,1:41:57
152300000,-116.017578125,0.02992547106902703,2.76e+03,1:41:54
152350000,-98.96890258789062,0.02992547106902703,2.76e+03,1:41:51
152400000,-128.7708740234375,0.02992547106902703,2.76e+03,1:41:47
152450000,-87.94927978515625,0.02992547106902703,2.76e+03,1:41:44
152500000,-105.02035522460938,0.02992547106902703,2.76e+03,1:41:41
152550000,-99.16323852539062,0.02992547106902703,2.76e+03,1:41:38
152600000,-120.4984130859375,0.02992547106902703,2.76e+03,1:41:35
152650000,-107.47918701171875,0.02992547106902703,2.76e+03,1:41:32
152700000,-89.74807739257812,0.02992547106902703,2.76e+03,1:41:29
152750000,-115.81216430664062,0.02992547106902703,2.76e+03,1:41:25
152800000,-116.634033203125,0.02992547106902703,2.76e+03,1:41:22
152850000,-92.59896850585938,0.02992547106902703,2.76e+03,1:41:19
152900000,-137.97659301757812,0.02992547106902703,2.76e+03,1:41:16
152950000,-115.31390380859375,0.02992547106902703,2.76e+03,1:41:13
153000000,-103.75979614257812,0.02992547106902703,2.76e+03,1:41:10
153050000,-111.4820556640625,0.02992547106902703,2.76e+03,1:41:07
153100000,-108.451171875,0.02992547106902703,2.76e+03,1:41:03
153150000,-106.07147216796875,0.02992547106902703,2.76e+03,1:41:00
153200000,-138.929443359375,0.02992547106902703,2.76e+03,1:40:57
153250000,-126.22030639648438,0.02992547106902703,2.76e+03,1:40:54
153300000,-98.42022705078125,0.02992547106902703,2.76e+03,1:40:51
153350000,-120.05514526367188,0.02992547106902703,2.76e+03,1:40:48
153400000,-119.69158935546875,0.02992547106902703,2.76e+03,1:40:45
153450000,-122.73849487304688,0.02992547106902703,2.76e+03,1:40:41
153500000,-127.72750854492188,0.02992547106902703,2.76e+03,1:40:38
153550000,-104.98275756835938,0.02992547106902703,2.76e+03,1:40:35
153600000,-86.90350341796875,0.02992547106902703,2.76e+03,1:40:32
153650000,-113.03179931640625,0.02992547106902703,2.76e+03,1:40:29
153700000,-100.69711303710938,0.02992547106902703,2.76e+03,1:40:26
153750000,-107.7314453125,0.02992547106902703,2.76e+03,1:40:23
153800000,-111.32546997070312,0.02992547106902703,2.76e+03,1:40:19
153850000,-96.83245849609375,0.02992547106902703,2.76e+03,1:40:16
153900000,-120.2916259765625,0.02992547106902703,2.76e+03,1:40:13
153950000,-113.30731201171875,0.02992547106902703,2.76e+03,1:40:10
154000000,-100.46246337890625,0.02992547106902703,2.76e+03,1:40:07
154050000,-129.69223022460938,0.02992547106902703,2.76e+03,1:40:04
154100000,-101.56781005859375,0.02992547106902703,2.76e+03,1:40:00
154150000,-128.43692016601562,0.02992547106902703,2.76e+03,1:39:57
154200000,-88.26168823242188,0.02992547106902703,2.76e+03,1:39:54
154250000,-134.84033203125,0.02992547106902703,2.76e+03,1:39:51
